PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
kilonewton;kN;1000 fold of the SI derived unit newton;;;kN;kilonewton;kN;kilonewton;B47;kilonewton;;0173-1#05-AAA737#003;force
cubic metre per second bar;(m³/s)/bar;power of the SI base unit metre with the exponent 3 divided by the product out of the SI base unit second and the unit bar;;;m³/(s.bar);cubic metre per second bar;m³ s⁻¹ bar⁻¹;cubic metre per second bar;G89;;;0173-1#05-AAA738#003;pressure-based volume flow
degree Fahrenheit;°F;on behalf of Daniel Gabriel Fahrenheit named unit of temperature, which is actual regulated with new fixing points, based on the temperature of the freezing and boiling point of water (32 °F and 212 °F);;for the numerical value of Fahrenheit temperature and the accordant thermodynamic temperature the following relation is valid: {δ}Fahrenheit = {T}Kelvin • 1,8 − 459,67. For temperature differences is valid: {Δδ}Fahrenheit = {ΔT}Kelvin • 1,8;°F;degree Fahrenheit;°F;degree Fahrenheit;FAH;;;0173-1#05-AAA739#004;Service temperature
cubic inch per second;in³/s;power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the SI base unit second;;;;;;cubic inch per second;G58;;;0173-1#05-AAA740#003;volume flow rate or volume velocity
gram per hour kelvin;(g/h)/K;0,001 fold of the SI base unit kilogram divided by the product out of the unit hour and the SI base unit kelvin;;;g/(h.K);gram per hour kelvin;g h⁻¹ K⁻¹;gram per hour kelvin;F36;;;0173-1#05-AAA741#003;temperature-based mass flow rate
stokes per bar;St/bar;illegal cgs unit stokes divided by the unit bar;;;;;;stokes per bar;G46;;;0173-1#05-AAA742#003;pressure-based kinematic viscosity
kilogram metre squared;kg·m²;product of the SI base unit kilogram and the power of the SI base unit metre with the exponent 2;;;kg·m²;kilogram square metre;kg m²;kilogram metre squared;B32;kilogram meter squared;;0173-1#05-AAA744#003;moment of inertia
megabecquerel;MBq;1 000 000 fold of the derived unit becquerel;;;MBq;megabecquerel;MBq;megabecquerel;4N;;;0173-1#05-AAA745#003;radioactivity
inch per two pi radiant;in/revolution;unit of the translation factor for implementation from rotation to linear move according to the Anglo-American and the Imperial system of units;;The coefficient describes an elongation of inch related to one revolution.;;;m 2⁻¹ π⁻¹ rad⁻¹;inch per two pi radiant;H57;;;0173-1#05-AAA746#004;transmission ratio between rotation and translation
lux hour;lx·h;product of the SI derived unit lux and the unit hour;;;lx·h;lux hour;lx h;lux hour;B63;;;0173-1#05-AAA747#003;luminous exposure
megacoulomb;MC;1 000 000 fold of the derived unit coulomb;;;MC;megacoulomb;MC;megacoulomb;D77;;;0173-1#05-AAA749#002;electric charge
lumen per square metre;lm/m²;SI derived unit lumen divided by the power of the SI base unit metre with the exponent 2;;;lm/m²;lumen per square metre;lm m⁻²;lumen per square metre;B60;;;0173-1#05-AAA750#003;luminous exitance
gram per litre bar;(g/l)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the unit litre and the unit bar;;;g/(l.bar);gram per litre bar;g l⁻¹ bar⁻¹;gram per litre bar;G13;;;0173-1#05-AAA751#003;pressure-based density
milligram per second kelvin;(mg/s)/K;0,000 001 fold of the SI base unit kilogram divided by the product out of the SI base unit second and the SI base unit kelvin;;;mg/(s.K);milligram per second kelvin;mg s⁻¹ K⁻¹;milligram per second kelvin;F46;;;0173-1#05-AAA752#003;temperature-based mass flow rate
watt hour;W·h;product of the SI derived unit watt and the unit hour;DIN 1301-2, ISO 1000;;W·h;watt hour;W h;watt hour;WHR;watt hour;;0173-1#05-AAA753#003;energy content
millilitre per hour;ml/h;0,001 fold of the unit litre divided by the unit hour;;;ml/h;millilitre per hour;ml h⁻¹;millilitre per hour;G55;;;0173-1#05-AAA755#002;volume flow rate or volume velocity
kilowatt;kW;1000 fold of the SI derived unit watt;;;kW;kilowatt;kW;kilowatt;KWT;;;0173-1#05-AAA756#003;active power
gram per square metre;g/m²;0,001 fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 2;;;g/m²;gram per square metre;g m⁻²;gram per square metre;GM;gram per square meter;;0173-1#05-AAA757#003;areic mass
mile (statute mile);mi;unit of the length according to the Imperial system of units with the relation according to NIST: 1 mile (imp.) = 1 609,344 metres;NIST Special Publication 811:1995;One statute mile (English mile) ist the unit length of the British dry mile in Great Britain and the USA. It accounts 1609,34m. 1 mile (imp.) = 8 furlong = 80 chain = 320 rod = 8000 link. 1 mile (based on US survey foot) =  1609,347 metres;;;stat.mi.;mile (statute mile);SMI;mile;;0173-1#05-AAA758#003;distance
percent per month;%/mo;hundredths relating to the unit month;;;;;% mo⁻¹;percent per month;H71;;;0173-1#05-AAA759#005;frequency
pascal per kelvin;Pa/K;SI derived unit pascal divided by the SI base unit kelvin;;;Pa/K;pascal per kelvin;Pa K⁻¹;pascal per kelvin;C64;;;0173-1#05-AAA760#003;pressure coefficient
milliampere per bar;mA/bar;0,001 fold of the SI base unit ampere divided by the unit bar;;;mA/bar;milliampere per bar;mA bar⁻¹;milliampere per bar;F59;;;0173-1#05-AAA761#003;pressure-based electric current
square yard;yd²;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 2;NIST Special Publication 811:1995;;yd²;square yard;yd²;square yard;YDK;square yard;;0173-1#05-AAA762#003;surface
metre per volt second;m/(V·s);SI base unit metre divided by the product of the derived SI unit volt and the SI base unit second;;;m/(V·s);metre per volt second;m V⁻¹ s⁻¹;metre per volt second;;;;0173-1#05-AAA763#003;
nanoampere;nA;0,000 000 001 fold of the SI base unit ampere;;;nA;nanoampere;nA;nanoampere;C39;;;0173-1#05-AAA764#003;electric current
megapascal per bar;MPa/bar;1000 000 fold of the SI derived unit pascal divided by the unit bar;;;MPa/bar;megapascal per bar;MPa bar⁻¹;megapascal per bar;F05;;;0173-1#05-AAA765#003;pressure ratio
byte;byte;Synonym for octet with the relation: 1 byte = 8 bit;;bit times eight = b-eight = byte accordant a eight-bit-byte. To avoid confusion with the symbol B for bel, the symbol byte is used - according to IEC 61360-1:2004 and ISO 13584-42:1998, but contrary to IEC 60027-2:2005.;kein Eintrag;byte;byte;byte;AD;byte;;0173-1#05-AAA766#003;byte data volume
degree Celsius per hour;°C/h;unit with the name °Celsius divided by the unit hour;;;°C/h;grad_Celsius per hour;°C h⁻¹;degree Celsius per hour;H12;;;0173-1#05-AAA767#002;rate of change of temperature
gallon (US);gal (US liq.);unit of the volume according the Anglo-American system of units with the relation according to NIST: 1 liquid gallon (US) = 231 inch³ = 3,785 411 784 litres;NIST Special Publication 811:1995;1 gallon (U.S.) was originally defined as a cylinder with a height of 6 inches and a diametre of 7 inches. By Calculating the volume, the number π was however approximated with 22/7. Since 1706, the gallon was redefined as a cuboid with the dimensions of (3 × 7 × 11) in³. Concequently is applied : 1 liquid gallon (U.S.) = 4 liquid quart (U.S.) = 8 liquid pint (U.S.) = 16 cup (U.S.) = 32 liquid gill (U.S.) = 128 fluid ounce (U.S.) = 231 inch³ = 3,785411784 litres.;;;;gallon (US);GLL;gallon (U.S.);;0173-1#05-AAA768#003;volume or section modulus
kilogram per cubic centimetre bar;(kg/cm³)/bar;SI base unit kilogram divided by the product out of the 0,000 001 fold of the power of the SI base unit metre with the exponent 3 and the unit bar;;;kg/(cm³.bar);kilogram per cubic centimetre bar;kg cm⁻³ bar⁻¹;kilogram per cubic centimetre bar;G16;;;0173-1#05-AAA769#003;pressure-based density
weber per metre;Wb/m;SI derived unit weber divided by the SI base unit metre;DIN 1301-2, ISO 1000;;Wb/m;weber per metre;Wb m⁻¹;weber per metre;D59;;;0173-1#05-AAA770#003;magnetic vector potential
gram per litre kelvin;(g/l)/K;0,001 fold of the SI base unit kilogram divided by the product out of the unit litre and the SI base unit kelvin;;;g/(l.K);gram per litre kelvin;g l⁻¹ K⁻¹;gram per litre kelvin;G35;;;0173-1#05-AAA771#003;temperature-based density
watt per metre kelvin;W/(m·K);SI derived unit watt divided by the product out of the SI base unit metre and the SI base unit kelvin;;;W/(m.K);watt per metre kelvin;W m⁻¹ K⁻¹;watt per metre kelvin;D53;;;0173-1#05-AAA773#003;thermal conductivity
square metre per steradian;m²/sr;power of the SI base unit metre with the exponent 2 divided by the SI derived unit steradian;;;m²/sr;square metre per steradian;m² sr⁻¹;square metre per steradian;D24;;;0173-1#05-AAA774#003;angular cross-section
kilomole per second;kmol/s;1000 fold of the SI base unit mol divided by the SI base unit second;;;kmol/s;kilomole per second;kmol s⁻¹;kilomole per second;E94;;;0173-1#05-AAA775#003;current of the amount of subtance
ampere squared second;A²·s;product out of the power of the SI base unit ampere with the exponent 2 and the SI base unit second;;;A²·s;ampere second squared;A² s;ampere squared second;H32;;;0173-1#05-AAA776#004;I²t-value
millivolt per metre;mV/m;0,001 fold of the SI derived unit volt divided by the SI base unit metre;;;mV/m;millivolt per metre;mV m⁻¹;millivolt per metre;C30;;;0173-1#05-AAA777#004;electric field strength
litre per kelvin;l/K;unit litre divided by the SI base unit kelvin;;;l/K;litre per kelvin;l K⁻¹;litre per kelvin;G28;;;0173-1#05-AAA778#003;temperature-related volume
pound per foot;lb/ft;unit for length-related masses according to the avoirdupois system of units with the relation according to NIST: 1 lb/ft = 1,488164 kg/m;NIST Special Publication 811:1995;;;;;pound per foot;P2;pound-force per foot;;0173-1#05-AAA779#003;lineic mass
watt per cubic metre;W/m³;SI derived unit watt divided by the power of the SI base unit metre with the exponent 3;;;W/m³;watt per cubic metre;W m⁻³;watt per cubic metre;H47;;;0173-1#05-AAA780#004;volumic output
square metre per second bar;m²/(s·bar);power of the SI base unit metre with the exponent 2 divided by the product out of the SI base unit second and the unit bar;;;m²/(s.bar);square metre per second bar;m² s⁻¹ bar⁻¹;square metre per second bar;G41;;;0173-1#05-AAA781#003;pressure-based kinematic viscosity
inch of mercury;inHg;not SI conform unit of the pressure - 1 inHg is equivalent to the static pressure, which will be generated from a mercury column with a heigth of 1 inch according to the Anglo-American and the Imperial system of units;NIST Special Publication 811:1995;;inHg;;inHg;inch of mercury;F79;inch of mercury, conventional;;0173-1#05-AAA783#003;mechanical tension
henry per metre;H/m;SI derived unit henry divided by the SI base unit metre;;;H/m;henry per metre;H m⁻¹;henry per metre;A98;henry per meter;;0173-1#05-AAA784#003;permeability
cubic centimetre per kelvin;cm³/K;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the SI base unit kelvin;;;cm³/K;cubic centimetre per kelvin;cm³ K⁻¹;cubic centimetre per kelvin;G27;;;0173-1#05-AAA785#003;temperature-related volume
degree Celsius per second;°C/s;unit with the name °Celsius divided by the SI unit second;;;°C/s;degree Celsius per second;°C s⁻¹;degree Celsius per second;H14;;;0173-1#05-AAA786#003;rate of change of temperature
watt per kelvin;W/K;SI derived unit watt divided by the SI base unit kelvin;;;W/K;watt per kelvin;W K⁻¹;watt per kelvin;D52;;;0173-1#05-AAA787#003;thermal conductance
decibel per kilometre;dB/km;0,1 fold of the unit bel divided by 1000 fold of the SI base unit metre;;;db/km;decibel per kilometre;db km⁻¹;decibel per kilometre;H51;;;0173-1#05-AAA788#005;lineic logarithmic ratio
microlitre;µl;0,000 001 fold of the unit litre;;;µl;microliter;µl;microlitre;4G;;;0173-1#05-AAA790#003;volume or section modulus
kilogram^-1;1/kg;reciprocal of the SI base unit kilogram;;;;;beantragt;;;;;0173-1#05-AAA793#003;reciprocal mass
gram^-1;1/g;reciprocal of the 0,001 fold of the SI base unit kilogram;;;;;beantragt;;;;;0173-1#05-AAA794#003;reciprocal mass
milligram^-1;1/mg;reciprocal of the 0,000 001 fold of the SI base unit kilogram;;;;;beantragt;;;;;0173-1#05-AAA795#003;reciprocal mass
ton^-1;1/t;reciprocal of the 1 000-fold of the SI base unit kilogram;;;;;beantragt;;;;;0173-1#05-AAA796#003;reciprocal mass
Pound_(avoirdupois)^-1;1/lb;reciprocal of the unit of the mass avoirdupois pound according to the avoirdupois system;;;;;beantragt;;;;;0173-1#05-AAA797#003;reciprocal mass
Ounce_(avoirdupois)^-1;1/oz;reciprocal of the unit of the mass avoirdupois ounce according to the avoirdupois system;;;;;beantragt;;;;;0173-1#05-AAA798#003;reciprocal mass
degree Rankin;°R;unit according to the Anglo-American system of units, that is named after William John Macquorn Rankine and based on the Rankine scale (a temperature scale, which has its zero value at the absolute zero (0 K) like the Kelvin scale, but uses contrary to this the scales distance of the Fahrenheit scale);NIST, Special Publication 811:2008;;;;°R;degree Rankin;A48;degree Rankine;;0173-1#05-AAA799#003;Service temperature
gigabecquerel;GBq;1 000 000 000 fold of the derived unit becquerel;;;GBq;gigabecquerel;GBq;gigabecquerel;GBQ;;;0173-1#05-AAA800#002;radioactivity
pound;lb (avoirdupois);1 000 000 000 fold of the derived unit becquerel;NIST, Special Publication 811:2008;1 avoirdupois pound = 16 ounce = 453,59237 grams = 256 dr = 7000 grain;;;lb (av);pound;LBR;pound (avoirdupois);;0173-1#05-AAA801#002;mass
Atmosphere_(technical);at;out of use unit of the pressure, which is excited of a water column with 10 metres height, with the relations: 1 at = 10 mH₂O = 9,806 65 N/cm² = 98 066,5 Pa;NIST, Special Publication 811:2008;The technical atmosphere was standardised as the quantity of the pressure, which is caused by a water column of exactly 10 metres height. According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;at;technical atmosphere;ATT;atmosphere, technical;;0173-1#05-AAA802#002;mechanical tension
reciprocal week;1/wk;reciprocal of the unit week;;;;;wk⁻¹;reciprocal week;H85;;;0173-1#05-AAA803#002;frequency
reciprocal cubic foot;1/ft³;reciprocal value of the power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3;;One foot, measuring 30,48 centimetre, is designated as international foot.;;;ft⁻³;reciprocal cubic foot;K20;;;0173-1#05-AAA804#002;volumetric entity density
reciprocal cubic yard;1/yd³;reciprocal value of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3;;;;;yd⁻³;reciprocal cubic yard;M10;;;0173-1#05-AAA805#002;volumetric entity density
brake horse power;bhp;unit of the power according to the Imperial system of units with the relation according to NIST: 1 bhp = 745,70 W;NIST, Special Publication 811:2008;;;;hp(brake);brake horse power;BHP;horsepower (U.K.);;0173-1#05-AAA806#002;active power
tonne per minute;t/min;unit ton divided by the unit for time minute;;;t/min;metric ton per minute;t min⁻¹;tonne per minute;L78;;;0173-1#05-AAA807#002;mass flow rate
dyne;dyn;CGS unit of the force with the relation according to NIST: 1 dyn = 0,000 01 N;NIST, Special Publication 811:2008;1 dyn corresponds to the force, which is required to accelerate the mass of 1 g at a rate of 1 cm/s². According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;dyn;dyne;DU;dyne;;0173-1#05-AAA808#002;force
ounce (avoirdupois) per day;oz/d;traditional unit of the mass avoirdupois ounce according to the avoirdupois system of units divided by the unit for time day;;;;;oz d⁻¹;ounce (avoirdupois) per day;L33;;;0173-1#05-AAA809#002;mass flow rate
horsepower (boiler);boiler hp;unit according to the Anglo-American system of units of the power with the relation according to NIST: 1 boiler hp = 9 809,50 W;NIST, Special Publication 811:2008;;;;hp(boiler);horsepower (boiler);K42;horsepower (boiler);;0173-1#05-AAA810#002;active power
